started_at,borough,count
2022-12-31,Bronx,12
2022-12-31,Brooklyn,76
2022-12-31,Manhattan,180
2022-12-31,Queens,7
2023-01-31,Bronx,42653
2023-01-31,Brooklyn,410759
2023-01-31,Manhattan,1247490
2023-01-31,Queens,94371
2023-02-28,Bronx,41428
2023-02-28,Brooklyn,379560
2023-02-28,Manhattan,1182986
2023-02-28,Queens,92074
2023-03-31,Bronx,56594
2023-03-31,Brooklyn,475652
2023-03-31,Manhattan,1470852
2023-03-31,Queens,115861
2023-04-30,Bronx,99152
2023-04-30,Brooklyn,623392
2023-04-30,Manhattan,1866618
2023-04-30,Queens,155517
2023-05-31,Bronx,146554
2023-05-31,Brooklyn,782472
2023-05-31,Manhattan,2321951
2023-05-31,Queens,194103
2023-06-30,Bronx,142441
2023-06-30,Brooklyn,792926
2023-06-30,Manhattan,2300873
2023-06-30,Queens,205395
2023-07-31,Bronx,144168
2023-07-31,Brooklyn,882701
2023-07-31,Manhattan,2402208
2023-07-31,Queens,217788
2023-08-31,Bronx,148238
2023-08-31,Brooklyn,947057
2023-08-31,Manhattan,2606745
2023-08-31,Queens,248961
2023-09-30,Bronx,112208
2023-09-30,Brooklyn,851809
2023-09-30,Manhattan,2271023
2023-09-30,Queens,223064
2023-10-31,Bronx,103619
2023-10-31,Brooklyn,896770
2023-10-31,Manhattan,2461486
2023-10-31,Queens,245559
2023-11-30,Bronx,82845
2023-11-30,Brooklyn,676656
2023-11-30,Manhattan,1853942
2023-11-30,Queens,192706
2023-12-31,Bronx,69261
2023-12-31,Brooklyn,525701
2023-12-31,Manhattan,1447795
2023-12-31,Queens,154695
2024-01-31,Bronx,54632
2024-01-31,Brooklyn,453878
2024-01-31,Manhattan,1241529
2024-01-31,Queens,131768
2024-02-29,Bronx,57807
2024-02-29,Brooklyn,511406
2024-02-29,Manhattan,1405140
2024-02-29,Queens,139523
2024-03-31,Bronx,87110
2024-03-31,Brooklyn,653154
2024-03-31,Manhattan,1729482
2024-03-31,Queens,183038
2024-04-30,Bronx,103849
2024-04-30,Brooklyn,799648
2024-04-30,Manhattan,2084282
2024-04-30,Queens,217116
2024-05-31,Bronx,137936
2024-05-31,Brooklyn,1047457
2024-05-31,Manhattan,2649927
2024-05-31,Queens,285410
2024-06-30,Bronx,151990
2024-06-30,Brooklyn,1280080
2024-06-30,Manhattan,2990039
2024-06-30,Queens,342109
2024-07-31,Bronx,156610
2024-07-31,Brooklyn,1286938
2024-07-31,Manhattan,2914572
2024-07-31,Queens,346722
2024-08-31,Bronx,151489
2024-08-31,Brooklyn,1254212
2024-08-31,Manhattan,2850151
2024-08-31,Queens,331692
2024-09-30,Bronx,155813
2024-09-30,Brooklyn,1322679
2024-09-30,Manhattan,3151332
2024-09-30,Queens,345098
2024-10-31,Bronx,159935
2024-10-31,Brooklyn,1362698
2024-10-31,Manhattan,3255934
2024-10-31,Queens,348740
2024-11-30,Bronx,115789
2024-11-30,Brooklyn,989719
2024-11-30,Manhattan,2333974
2024-11-30,Queens,254696
2024-12-31,Bronx,72932
2024-12-31,Brooklyn,605189
2024-12-31,Manhattan,1457107
2024-12-31,Queens,167418
2025-01-31,Bronx,58509
2025-01-31,Brooklyn,560664
2025-01-31,Manhattan,1347839
2025-01-31,Queens,149097
2025-02-28,Bronx,52227
2025-02-28,Brooklyn,523312
2025-02-28,Manhattan,1310911
2025-02-28,Queens,136614
2025-03-31,Bronx,93381
2025-03-31,Brooklyn,840403
2025-03-31,Manhattan,2004020
2025-03-31,Queens,216425
2025-04-30,Bronx,107106
2025-04-30,Brooklyn,981659
2025-04-30,Manhattan,2375980
2025-04-30,Queens,243746
2025-05-31,Bronx,130367
2025-05-31,Brooklyn,1188647
2025-05-31,Manhattan,2696601
2025-05-31,Queens,290613
2025-06-30,Bronx,146247
2025-06-30,Brooklyn,1306567
2025-06-30,Manhattan,2952206
2025-06-30,Queens,330615
2025-07-31,Bronx,147287
2025-07-31,Brooklyn,1372656
2025-07-31,Manhattan,3082928
2025-07-31,Queens,355876
2025-08-31,Bronx,146777
2025-08-31,Brooklyn,1405243
2025-08-31,Manhattan,3179088
2025-08-31,Queens,362508
2025-09-30,Bronx,139961
2025-09-30,Brooklyn,1419952
2025-09-30,Manhattan,3336695
2025-09-30,Queens,359876
2025-10-31,Bronx,128669
2025-10-31,Brooklyn,1283195
2025-10-31,Manhattan,2973400
2025-10-31,Queens,320889
2025-11-30,Bronx,93649
2025-11-30,Brooklyn,942029
2025-11-30,Manhattan,2125335
2025-11-30,Queens,237714
